Estado,2020-I,2020-II,2020-III,2020-IV,2021-I,2021-II,2021-III,2021-IV,2022-I,2022-II,2022-III,2022-IV,2023-I,2023-II
Aguascalientes,3.35009144,4.533646689363,5.19230267,5.1975375,3.6224,3.8716,4.6257,4.37725905,3.5197,3.7681975,4.03922817,3.76755537,3.0196229,3.19796438
Baja California,2.16797834,3.723552823503,2.74816797,2.88007377,2.5548,2.4467,2.8795,2.04350548,1.9105,2.50983702,2.59254362,2.70224496,1.71221553,2.30742776
Baja California Sur,3.83703067,6.049383016791,7.38777833,5.42496952,4.9818,4.4095,4.2548,2.59219868,2.8748,2.73295353,2.86790431,2.85078533,2.7593624,2.70069693
Campeche,2.78253495,4.727600453,3.8260798,3.38969223,2.9264,2.8953,3.057,2.95580352,3.0681,2.95330073,2.2977209,1.97640992,1.7623954,1.75904768
Coahuila de Zaragoza,4.7671923,4.949823798608,7.37166942,6.15794392,5.111,4.8421,4.9301,4.80892003,5.0227,4.02556783,4.24342442,3.41465789,3.62833223,3.70272669
Colima,3.12872171,5.67498838996,4.14452648,3.80916462,3.2056,3.1979,2.9165,3.12393499,2.7712,2.56226011,2.6098454,2.3576337,2.13477577,2.20655045
Chiapas,2.58385954,5.557956105297,3.39902156,2.72577533,3.1742,2.9087,3.2826,3.33130896,2.4995,2.58906444,2.2884669,2.3269792,2.48800961,1.83913388
Chihuahua,3.49113933,3.00337229052,4.69779716,3.73506768,3.9755,3.6124,3.0286,2.86672567,2.5998,2.45553268,2.46536404,1.98905534,2.78441477,2.47851791
Distrito Federal,4.72524353,6.030080466983,7.99090486,6.63142113,7.3091,7.2567,6.9911,5.89173317,5.8477,5.3983559,5.25199988,4.53060485,3.75255087,4.36954728
Durango,4.05511618,4.529016957755,4.80873032,4.87684575,4.1499,4.5947,4.2108,3.43067597,3.5752,3.26514005,3.25674844,3.08719657,2.9873727,2.87200783
Guanajuato,3.55996596,4.362795365412,6.64331139,5.33650213,5.9121,5.6089,5.4138,3.91122883,3.6362,2.93239965,4.01364072,3.07080418,2.89609958,3.40809631
Guerrero,1.58398893,3.808797106151,3.28629659,2.4047663,1.6917,1.5095,1.5939,1.41565041,1.6038,1.4893519,1.7187504,0.80639112,1.79718728,0.94909533
Hidalgo,1.86791099,4.061538252433,3.33657922,2.19262701,4.0229,2.2253,2.8767,2.70084556,2.2283,2.64529193,2.30357053,2.20085081,2.51058923,2.74172012
